geometry_type,coord_x,coord_y,feature_type,cdns,certs_BREAAM,certs_EUcoc,certs_LEED,certs_Other,certs_UT_cert,certs_UT_level,clouds,company_name,construction_date,country,fibres,gross_max_power,id,ixps,m2,name,networks,readyForService,readyForService_dt,construction_date_dt,readyForService_dmy,construction_date_dmy
Point,0.357226819,46.66149326,Feature,[],,,,,,,[],Datacampus,,France,[],,069f4ba1-b62b-11e5-ad0b-02b4d6763261,[],,Futuroscope,[],,,,,
Point,2.001844,48.776731,Feature,[],,,,,,,[],SFR,,France,[],,0709310e-b62b-11e5-ad0b-02b4d6763261,[],,Trappes,[],,,,,
Point,-1.627392,48.12480799999999,Feature,[],,,,"27001,HDS",0,1,[],TDF,,France,"[""Orange"", ""SFR""]",600.0,073bd9ce-b62b-11e5-ad0b-02b4d6763261,[],400.0,TDF Datacenter Rennes Cesson,"[""orange"", ""SFR""]",,,,,
Point,3.042616700000001,50.64752790000001,Feature,[],,,,,,,[],TDF,,France,[],500.0,070400e2-b62b-11e5-ad0b-02b4d6763261,[],300.0,TDF Datacenter Lille Lambersart,[],,,,,
Point,-0.5037963999999999,44.8189387,Feature,[],,,,,,,[],TDF,,France,[],1000.0,078fc624-b62b-11e5-ad0b-02b4d6763261,[],500.0,TDF Datacenter Bordeaux Bouliac,[],,,,,
Point,5.3254643,43.4618489,Feature,[],,,,,,,[],TDF,,France,[],900.0,0746d64b-b62b-11e5-ad0b-02b4d6763261,[],500.0,TDF Datacenter Aix Marseille,[],,,,,
Point,2.328717,48.81615,Feature,[],,,,,0,1,[],Sungard,,France,[],255.0,a3dfbff0-76f8-457f-be16-0a39b6f0c1c1,[],1400.0,Montrouge Users Rescue Center,[],,,,,
Point,1.1888758,49.2642027,Feature,[],,,,ISO 14001 | ISO 50001,0,1,[],Orange,2019-05-13 22:00:00,France,[],,078fed5b-b62b-11e5-ad0b-02b4d6763261,[],5000.0,Normandie 2,"[""Orange Group""]",2011-12-31 23:00:00,2011-12-31 23:00:00,2019-05-13 22:00:00,31-12-2011,13-05-2019
Point,3.5218529,50.3701335,Feature,[],,,,,,,[],Techcréa Solutions,,France,[],,06cdaea3-b62b-11e5-ad0b-02b4d6763261,[],,FirstHeberg,[],,,,,
Point,1.4870551,43.6255034,Feature,[],,,,,0,1,[],Zayo Group LLC,,France,[],300.0,07c55530-b62b-11e5-ad0b-02b4d6763261,[],445.0,10 Rue des Freres Peugeot,[],,,,,
Point,1.4784139,43.543794,Feature,[],,,,,,,[],NFrance,,France,[],,074f88d5-b62b-11e5-ad0b-02b4d6763261,[],,Ramonville,[],,,,,
Point,4.9072331,46.0715079,Feature,[],,,,,,,[],Maxnod,,France,[],,0791e916-b62b-11e5-ad0b-02b4d6763261,[],,Saint Trivier sur Moignan,[],,,,,
Point,1.09766,49.4097453,Feature,[],,,,,,,[],WEBAXYS,,France,[],,07c6dbbe-b62b-11e5-ad0b-02b4d6763261,[],,Sotteville les Rouen,[],,,,,
Point,2.6297222,44.4361111,Feature,[],,,,,,,[],Inforsud,,France,[],,073f5c45-b62b-11e5-ad0b-02b4d6763261,[],,Bozouls,[],,,,,
Point,4.080863,46.05931,Feature,[],,,,,,,[],NumeriParc,,France,[],,07c702ca-b62b-11e5-ad0b-02b4d6763261,[],,Roanne,[],,,,,
Point,2.542867,48.960226,Feature,[],,,,,,,[],Telia Carrier,,France,[],,070623cd-b62b-11e5-ad0b-02b4d6763261,[],,Villepinte,[],,,,,
Point,2.4201714,48.8510804,Feature,[],,,,,,,[],Saveho,,France,[],,070e1312-b62b-11e5-ad0b-02b4d6763261,[],,Montreuil,[],,,,,
Point,2.3813621,43.0724667,Feature,[],,,,,,,[],Interoute,,France,[],,069d9df8-b62b-11e5-ad0b-02b4d6763261,[],,Narbonne,[],,,,,
